Idx	Dataset	StartIdx	EndIdx	NumPts	X	Y	Z
29	2015-02-03-08-45-10	1422953244387185	1422953256553814	35145	64.694335	593.637906	3.914442
30	2015-02-03-08-45-10	1422953246253682	1422953275407804	56450	82.381572	601.483665	3.286491
31	2015-02-03-08-45-10	1422953248221085	1422953274524458	52250	83.768149	598.436461	3.237561
32	2015-02-03-08-45-10	1422953250184932	1422953273581823	47912	85.281183	595.703340	3.162729
33	2015-02-03-08-45-10	1422953252126921	1422953272580981	43917	86.869569	593.179272	3.067757
34	2015-02-03-08-45-10	1422953254171375	1422953271537645	39546	88.496747	591.419698	3.030871
35	2015-02-03-08-45-10	1422953256653744	1422953270512248	35572	90.981541	591.464837	2.829744
36	2015-02-03-08-45-10	1422953260139589	1422953270270606	36228	93.068869	597.499998	2.870879
37	2015-02-03-08-45-10	1422953262584114	1422953271356770	39638	92.781854	608.390537	3.009699
38	2015-02-03-08-45-10	1422953264264786	1422953272681004	39992	92.213999	618.589863	3.017723
39	2015-02-03-08-45-10	1422953265792005	1422953273983029	42834	91.938044	628.390861	3.136022
40	2015-02-03-08-45-10	1422953267239013	1422953275267396	43734	91.681423	638.291554	3.237204
41	2015-02-03-08-45-10	1422953268643311	1422953276551532	45102	91.382501	648.511912	3.320144
42	2015-02-03-08-45-10	1422953270028831	1422953277877337	42579	91.089231	658.854932	3.384358
43	2015-02-03-08-45-10	1422953271396963	1422953279221515	42291	90.458977	669.214595	3.404690
44	2015-02-03-08-45-10	1422953272720999	1422953280544071	43464	89.455374	678.901158	3.535983
45	2015-02-03-08-45-10	1422953274003083	1422953281784771	40968	88.265779	688.333455	3.648790
46	2015-02-03-08-45-10	1422953275307521	1422953282964532	40062	87.025838	697.839865	3.762165
47	2015-02-03-08-45-10	1422953276611736	1422953284086801	39292	85.586377	707.867198	3.862528
48	2015-02-03-08-45-10	1422953277937607	1422953285190397	40624	83.930038	717.998175	3.959763
49	2015-02-03-08-45-10	1422953279281631	1422953286292937	40591	82.406102	728.224179	4.052539
50	2015-02-03-08-45-10	1422953280604250	1422953287435182	40117	81.161062	739.167262	4.177924
51	2015-02-03-08-45-10	1422953281844719	1422953288555663	41832	79.814397	749.134114	4.227138
52	2015-02-03-08-45-10	1422953283024579	1422953289701333	41827	78.478523	759.046508	4.214523
53	2015-02-03-08-45-10	1422953284146896	1422953290844707	38524	77.656846	769.265055	4.432760
54	2015-02-03-08-45-10	1422953285250595	1422953292011001	43429	76.758463	779.707523	4.599323
55	2015-02-03-08-45-10	1422953286353206	1422953293156231	44552	76.063217	789.323290	4.731085
56	2015-02-03-08-45-10	1422953287475150	1422953294299130	41016	74.819235	799.053606	4.690587
57	2015-02-03-08-45-10	1422953288595819	1422953295445097	40440	74.146855	808.831494	4.805597
58	2015-02-03-08-45-10	1422953289741493	1422953296631490	38862	73.566645	819.029401	5.009054
59	2015-02-03-08-45-10	1422953290884769	1422953297822547	42243	72.541062	829.580065	4.974735
60	2015-02-03-08-45-10	1422953292031150	1422953299012412	42956	71.568213	840.041657	4.885336
61	2015-02-03-08-45-10	1422953293176297	1422953300179688	41377	70.618609	849.622704	4.740365
62	2015-02-03-08-45-10	1422953294319241	1422953301388539	42811	70.184468	859.379867	4.726551
63	2015-02-03-08-45-10	1422953295485347	1422953302639245	44557	69.357843	869.401273	4.658819
64	2015-02-03-08-45-10	1422953296671793	1422953304047052	41729	68.502868	879.985547	4.517388
65	2015-02-03-08-45-10	1422953297862900	1422953305772830	40952	67.289907	891.960632	4.418206
66	2015-02-03-08-45-10	1422953299052723	1422953308479779	45583	66.086334	905.207449	4.444731
67	2015-02-03-08-45-10	1422953300240130	1422953329172083	40458	64.508298	921.988978	4.409657
68	2015-02-03-08-45-10	1422953301449123	1422953331817441	45928	63.848350	927.895598	4.375539
69	2015-02-03-08-45-10	1422953302699642	1422953333622683	52257	63.261793	932.886074	4.374497
70	2015-02-03-08-45-10	1422953304107314	1422953335370818	54344	62.416726	937.612529	4.379430
71	2015-02-03-08-45-10	1422953305832993	1422953337214480	50179	61.467808	943.132076	4.362404
72	2015-02-03-08-45-10	1422953308559915	1422953339539224	45407	60.355544	951.147823	4.305956
73	2015-02-03-08-45-10	1422953329252046	1422953356726409	59978	79.286675	961.033254	3.825513
74	2015-02-03-08-45-10	1422953331837509	1422953355783760	55007	79.726028	965.130113	3.798267
75	2015-02-03-08-45-10	1422953333642775	1422953354779744	48940	79.970360	968.418110	3.767688
76	2015-02-03-08-45-10	1422953335390859	1422953353695173	45146	80.269413	971.710973	3.721427
77	2015-02-03-08-45-10	1422953337234477	1422953352571558	43400	81.425573	974.326581	3.699539
78	2015-02-03-08-45-10	1422953339499200	1422953351729875	40330	84.823849	974.943734	3.625045
79	2015-02-03-08-45-10	1422953341619492	1422953351970484	41396	89.451971	971.071958	3.572836
80	2015-02-03-08-45-10	1422953343467332	1422953352812567	40437	94.030109	963.919553	3.437764
81	2015-02-03-08-45-10	1422953345253310	1422953353895993	40627	97.656119	955.656247	3.395207
82	2015-02-03-08-45-10	1422953346878311	1422953355161068	41539	100.928357	946.559939	3.449877
83	2015-02-03-08-45-10	1422953348384072	1422953356465733	40936	104.492680	937.296394	3.447217
84	2015-02-03-08-45-10	1422953349847257	1422953357767846	40277	108.476343	927.516746	3.417573
85	2015-02-03-08-45-10	1422953351228218	1422953359050491	41210	112.893508	917.929755	3.448308
86	2015-02-03-08-45-10	1422953352571558	1422953360350993	42355	117.402229	908.691998	3.488289
87	2015-02-03-08-45-10	1422953353895993	1422953361632726	43842	122.114666	900.233755	3.545442
88	2015-02-03-08-45-10	1422953355221363	1422953362897191	46531	127.411545	891.534701	3.555390
89	2015-02-03-08-45-10	1422953356505858	1422953364139308	44244	132.427905	883.704809	3.485334
90	2015-02-03-08-45-10	1422953357807940	1422953365383669	41734	138.183303	875.488670	3.408457
91	2015-02-03-08-45-10	1422953359090544	1422953366612055	37961	144.219793	867.338905	3.222153
92	2015-02-03-08-45-10	1422953360390998	1422953367859391	38712	150.777165	859.258033	3.061257
93	2015-02-03-08-45-10	1422953361672887	1422953369126333	37135	157.375831	851.268872	2.928060
94	2015-02-03-08-45-10	1422953362937286	1422953370391382	35822	164.112169	843.104419	2.791113
95	2015-02-03-08-45-10	1422953364179386	1422953371673213	37326	170.525369	835.376355	2.856064
96	2015-02-03-08-45-10	1422953365423875	1422953372934533	40420	177.108651	827.510281	2.890913
97	2015-02-03-08-45-10	1422953366672475	1422953374215656	41338	183.585364	819.882117	2.977942
98	2015-02-03-08-45-10	1422953367919817	1422953375500438	46785	190.442378	812.039374	3.032905
99	2015-02-03-08-45-10	1422953369186660	1422953376786193	50043	197.225980	804.404878	3.104426
100	2015-02-03-08-45-10	1422953370451513	1422953378111929	52418	204.220295	797.211564	3.089848
101	2015-02-03-08-45-10	1422953371733365	1422953379498334	51336	211.505640	790.550657	2.971221
102	2015-02-03-08-45-10	1422953373014856	1422953380899730	49955	218.858139	783.971157	2.814732
103	2015-02-03-08-45-10	1422953374295654	1422953382240995	48976	226.137906	777.951656	2.640607
104	2015-02-03-08-45-10	1422953375560725	1422953383566664	44144	233.894327	771.363893	2.629662
105	2015-02-03-08-45-10	1422953376846561	1422953384891591	42476	241.599882	764.951016	2.515180
106	2015-02-03-08-45-10	1422953378152105	1422953386236937	42467	249.784418	758.213045	2.468116
107	2015-02-03-08-45-10	1422953379538431	1422953387616966	44706	257.607172	750.881593	2.478296
108	2015-02-03-08-45-10	1422953380919707	1422953389059449	45876	264.913409	743.317687	2.552622
109	2015-02-03-08-45-10	1422953382261058	1422953390541622	47225	271.032666	735.395245	2.655715
110	2015-02-03-08-45-10	1422953383586764	1422953392003459	51210	276.331925	727.395659	2.555417
111	2015-02-03-08-45-10	1422953384911651	1422953393588209	52133	280.957375	718.883403	2.544413
112	2015-02-03-08-45-10	1422953386236937	1422953395556031	50486	285.186003	708.984299	2.447690
113	2015-02-03-08-45-10	1422953387576928	1422953398166668	49124	289.397046	698.030249	2.336275
114	2015-02-03-08-45-10	1422953388959157	1422953422131042	46677	294.563514	682.731615	2.250615
115	2015-02-03-08-45-10	1422953390381466	1422953430277763	52356	297.890083	672.253504	2.221179
116	2015-02-03-08-45-10	1422953391862901	1422953432821552	60062	299.254532	667.806768	2.202809
117	2015-02-03-08-45-10	1422953393528052	1422953434982129	64336	300.511288	663.387590	2.191114
118	2015-02-03-08-45-10	1422953395556031	1422953436785816	60193	301.823207	658.865962	2.212236
119	2015-02-03-08-45-10	1422953398226819	1422953438408860	53920	303.227356	653.920209	2.240583
120	2015-02-03-08-45-10	1422953422332053	1422953440051057	49162	305.690634	644.964754	2.270617
121	2015-02-03-08-45-10	1422953430317755	1422953441752785	47997	310.538202	627.956873	2.248191
122	2015-02-03-08-45-10	1422953432841566	1422953443658458	45123	314.230393	616.585998	2.285775
123	2015-02-03-08-45-10	1422953435002189	1422953446008183	43106	318.315176	604.870749	2.325073
124	2015-02-03-08-45-10	1422953436805911	1422953450085309	41359	323.242995	591.804841	2.372006
125	2015-02-03-08-45-10	1422953438448913	1422953475543365	41605	328.664628	579.839948	2.429587
126	2015-02-03-08-45-10	1422953440111066	1422953478551970	48821	331.452642	572.867327	2.569624
127	2015-02-03-08-45-10	1422953441812794	1422953501835191	51678	336.421180	560.933869	2.742715
128	2015-02-03-08-45-10	1422953443718691	1422953506522984	57848	338.910148	555.263484	2.875609
129	2015-02-03-08-45-10	1422953446088645	1422953510356209	63268	341.190516	549.913643	3.011848
130	2015-02-03-08-45-10	1422953450406808	1422953515613073	69928	346.384127	543.697702	3.167847
131	2015-02-03-08-45-10	1422953475603423	1422953517791279	72069	351.679989	538.450687	3.295503
132	2015-02-03-08-45-10	1422953478612196	1422953519122690	65037	355.341064	536.701485	3.272016
133	2015-02-03-08-45-10	1422953501975561	1422953520031368	60609	364.192012	532.888969	3.409476
134	2015-02-03-08-45-10	1422953506563068	1422953520557820	49689	371.744147	531.758505	3.365437
135	2015-02-03-08-45-10	1422953510376298	1422953520941757	46990	380.975042	533.986074	3.203842
136	2015-02-03-08-45-10	1422953512910602	1422953522476232	44356	392.060695	538.534920	2.846288
137	2015-02-03-08-45-10	1422953514564133	1422953524053546	45692	401.732776	542.505319	2.689397
138	2015-02-03-08-45-10	1422953516157686	1422953525611010	43769	410.984067	546.282356	2.524224
139	2015-02-03-08-45-10	1422953517750964	1422953527108265	42990	420.363559	550.064369	2.312794
140	2015-02-03-08-45-10	1422953519324512	1422953528543656	41723	429.199292	553.624290	2.143934
141	2015-02-03-08-45-10	1422953520921562	1422953529939472	40034	438.157522	557.481369	1.975696
142	2015-02-03-08-45-10	1422953522536771	1422953531333958	38125	446.923454	560.829923	1.805513
143	2015-02-03-08-45-10	1422953524114191	1422953532705877	36060	456.829590	564.821571	1.570796
144	2015-02-03-08-45-10	1422953525651446	1422953534057026	36884	466.586811	568.784321	1.465300
145	2015-02-03-08-45-10	1422953527148708	1422953535406805	36759	475.605808	572.700893	1.206985
146	2015-02-03-08-45-10	1422953528604363	1422953536774633	39189	485.730849	577.419936	1.106340
147	2015-02-03-08-45-10	1422953530000137	1422953538104619	42378	495.308001	582.311839	0.983457
148	2015-02-03-08-45-10	1422953531374474	1422953539394994	46158	503.422249	587.350105	0.950677
149	2015-02-03-08-45-10	1422953532746146	1422953540724152	46250	512.154153	592.765107	0.875598
150	2015-02-03-08-45-10	1422953534097353	1422953542055880	48355	520.731938	598.432241	0.739147
151	2015-02-03-08-45-10	1422953535447023	1422953543611357	50858	528.891708	603.795415	0.775636
152	2015-02-03-08-45-10	1422953536794765	1422953545262843	48367	537.673272	609.182915	0.615584
153	2015-02-03-08-45-10	1422953538124769	1422953547118978	47747	546.891023	614.795879	0.439523
154	2015-02-03-08-45-10	1422953539455396	1422953549967021	46968	557.243764	621.327874	0.193322
155	2015-02-03-08-45-10	1422953540784616	1422953555166860	57321	570.704214	623.814399	-0.069777
156	2015-02-03-08-45-10	1422953542136798	1422953557732336	60204	578.205017	621.764381	-0.239181
157	2015-02-03-08-45-10	1422953543691992	1422953559184924	59500	583.966378	619.514527	-0.385715
158	2015-02-03-08-45-10	1422953545323309	1422953560073264	52208	588.128272	617.558745	-0.488743
159	2015-02-03-08-45-10	1422953547199725	1422953560578277	46157	591.769696	615.050263	-0.564504
160	2015-02-03-08-45-10	1422953550047621	1422953561002194	44278	596.405166	609.444908	-0.650687
161	2015-02-03-08-45-10	1422953552605345	1422953562433805	45035	601.978005	600.056160	-0.812323
162	2015-02-03-08-45-10	1422953554440182	1422953564021946	43679	607.449762	591.053090	-1.006743
163	2015-02-03-08-45-10	1422953556095536	1422953565570247	45142	612.565915	582.259936	-1.157046
164	2015-02-03-08-45-10	1422953557712132	1422953567073983	44665	617.545040	573.148968	-1.180305
165	2015-02-03-08-45-10	1422953559305974	1422953568579510	45976	622.338692	563.502831	-1.188864
166	2015-02-03-08-45-10	1422953560881052	1422953570026923	48892	626.367860	554.630138	-1.135894
167	2015-02-03-08-45-10	1422953562474077	1422953571579556	51443	630.609877	545.487168	-1.150389
168	2015-02-03-08-45-10	1422953564062142	1422953573270112	53459	634.425622	535.923789	-1.063943
169	2015-02-03-08-45-10	1422953565630465	1422953575197079	51316	638.077099	526.381706	-1.050373
170	2015-02-03-08-45-10	1422953567134152	1422953577259760	50278	641.233158	516.039833	-1.042865
171	2015-02-03-08-45-10	1422953568639826	1422953579340201	46412	644.095085	505.371389	-0.983563
172	2015-02-03-08-45-10	1422953570087271	1422953581245147	46413	646.535722	496.305545	-0.800188
173	2015-02-03-08-45-10	1422953571619817	1422953583007705	47548	648.565319	487.601232	-0.565238
174	2015-02-03-08-45-10	1422953573310316	1422953584727629	46310	650.533252	478.799432	-0.381706
175	2015-02-03-08-45-10	1422953575217153	1422953586509871	47233	652.403707	469.789789	-0.091050
176	2015-02-03-08-45-10	1422953577239727	1422953588392892	47342	654.814497	459.682345	0.139258
177	2015-02-03-08-45-10	1422953579320167	1422953590177969	48986	657.362767	449.077879	0.344208
178	2015-02-03-08-45-10	1422953581245147	1422953591780872	51055	659.445103	439.214546	0.450592
179	2015-02-03-08-45-10	1422953583027713	1422953593301812	50858	661.281786	430.051459	0.554087
180	2015-02-03-08-45-10	1422953584747624	1422953594862492	47483	663.120266	421.010701	0.663546
181	2015-02-03-08-45-10	1422953586549960	1422953596402826	48834	664.758144	411.341201	0.765545
182	2015-02-03-08-45-10	1422953588433007	1422953597962936	48524	666.362802	400.618350	0.977205
183	2015-02-03-08-45-10	1422953590218111	1422953599564437	46696	667.927140	390.333142	1.205235
184	2015-02-03-08-45-10	1422953591820909	1422953601126125	41709	669.046947	379.774940	1.478618
185	2015-02-03-08-45-10	1422953593341837	1422953602649897	44130	669.827540	369.592615	1.771887
186	2015-02-03-08-45-10	1422953594902529	1422953604193608	46683	670.253790	359.408384	2.072481
187	2015-02-03-08-45-10	1422953596442882	1422953605694105	45717	670.732674	349.398914	2.334614
188	2015-02-03-08-45-10	1422953598022877	1422953607215696	46459	671.248758	339.030819	2.525552
189	2015-02-03-08-45-10	1422953599604552	1422953608720845	48256	671.418808	329.572241	2.694853
190	2015-02-03-08-45-10	1422953601166195	1422953610283382	47890	671.600647	320.116260	2.740451
191	2015-02-03-08-45-10	1422953602710171	1422953611985312	47482	671.843438	309.551538	2.745220
192	2015-02-03-08-45-10	1422953604233728	1422953614085854	45122	672.080994	298.106959	2.735830
193	2015-02-03-08-45-10	1422953605754082	1422953616695014	42227	672.200327	286.104090	2.699081
194	2015-02-03-08-45-10	1422953607255782	1422953619409467	38960	672.070542	275.224760	2.590417
195	2015-02-03-08-45-10	1422953608781015	1422953624552708	35845	672.385077	261.847064	2.473501
196	2015-02-03-08-45-10	1422953610323449	1422953639406539	51150	670.108228	248.525383	2.626471
197	2015-02-03-08-45-10	1422953612025356	1422953642927922	56387	666.043084	244.866091	2.695839
198	2015-02-03-08-45-10	1422953614125855	1422953644674899	54680	662.890788	242.226843	2.737506
199	2015-02-03-08-45-10	1422953616735305	1422953645781189	49754	659.951686	239.898986	2.785090
200	2015-02-03-08-45-10	1422953619449646	1422953646464555	44229	657.247504	238.273590	2.857143
201	2015-02-03-08-45-10	1422953624612900	1422953646625441	37284	652.743787	237.066231	3.001342
202	2015-02-03-08-45-10	1422953636791571	1422953647853576	34388	634.017500	237.493831	3.246572
203	2015-02-03-08-45-10	1422953638985170	1422953649563101	34617	623.210044	238.080390	3.339206
204	2015-02-03-08-45-10	1422953640827402	1422953651230562	34926	613.127612	238.528623	3.413447
205	2015-02-03-08-45-10	1422953642567594	1422953652877007	33638	603.661713	238.886895	3.451272
206	2015-02-03-08-45-10	1422953644333036	1422953654787095	34864	592.850302	239.283240	3.542705
207	2015-02-03-08-45-10	1422953646122884	1422953657255245	34800	580.915061	239.254234	3.564941
208	2015-02-03-08-45-10	1422953647893795	1422953659460476	34189	570.303165	239.053516	3.595648
209	2015-02-03-08-45-10	1422953649603370	1422953661262615	34918	561.066121	238.726366	3.624760
210	2015-02-03-08-45-10	1422953651270585	1422953662903945	34934	552.361644	238.248247	3.675754
211	2015-02-03-08-45-10	1422953652917254	1422953664890413	35173	543.396081	237.529424	3.759009
212	2015-02-03-08-45-10	1422953654827232	1422953667460571	33749	532.519851	236.320220	3.784427
213	2015-02-03-08-45-10	1422953657295305	1422953670199353	34778	520.517801	234.761329	3.828351
214	2015-02-03-08-45-10	1422953659500586	1422953672779546	34077	510.584595	232.704433	3.852898
215	2015-02-03-08-45-10	1422953661282601	1422953675315528	33362	502.025809	229.921953	3.983617
216	2015-02-03-08-45-10	1422953662944033	1422953677471839	35821	494.636186	226.508532	4.078593
217	2015-02-03-08-45-10	1422953664930519	1422953679382576	39877	487.181231	222.233894	4.264418
218	2015-02-03-08-45-10	1422953667500667	1422953681048692	46038	479.192846	216.978261	4.451488
219	2015-02-03-08-45-10	1422953670219531	1422953682638949	48478	470.902635	210.585075	4.664042
220	2015-02-03-08-45-10	1422953672678898	1422953684273759	49981	463.272447	204.580077	4.762453
221	2015-02-03-08-45-10	1422953674993081	1422953685905503	50122	455.222972	198.507931	4.771808
222	2015-02-03-08-45-10	1422953677129651	1422953687517104	50037	446.876879	192.685141	4.813768
223	2015-02-03-08-45-10	1422953679080809	1422953689149843	47426	437.903566	187.148797	4.661466
224	2015-02-03-08-45-10	1422953680908058	1422953690905975	46306	428.429939	181.532972	4.565161
225	2015-02-03-08-45-10	1422953682618845	1422953692780420	50333	418.987397	176.541106	4.457824
226	2015-02-03-08-45-10	1422953684273759	1422953694696923	49621	410.022452	172.295499	4.440330
227	2015-02-03-08-45-10	1422953685885367	1422953696653352	46471	400.886187	168.328697	4.307517
228	2015-02-03-08-45-10	1422953687496941	1422953698666411	44117	391.546524	164.812478	4.251801
229	2015-02-03-08-45-10	1422953689149843	1422953700669053	42138	382.448498	161.842582	4.328373
230	2015-02-03-08-45-10	1422953690926170	1422953702650981	41940	372.971432	159.152263	4.419322
231	2015-02-03-08-45-10	1422953692800558	1422953704669100	40148	363.511695	156.628392	4.587258
232	2015-02-03-08-45-10	1422953694696923	1422953707123275	37928	353.153723	154.096569	4.803976
233	2015-02-03-08-45-10	1422953696633242	1422953735789761	77523	360.469015	162.164554	5.423051
234	2015-02-03-08-45-10	1422953698626121	1422953734213109	71147	356.614489	161.415180	5.478613
235	2015-02-03-08-45-10	1422953700648805	1422953732594865	63422	353.124821	160.808350	5.533127
236	2015-02-03-08-45-10	1422953702671152	1422953730859071	58814	349.472054	160.398280	5.552575
237	2015-02-03-08-45-10	1422953704709442	1422953729081855	54568	346.033194	160.153304	5.557487
238	2015-02-03-08-45-10	1422953707163485	1422953727247504	48471	343.251427	160.421539	5.511077
239	2015-02-03-08-45-10	1422953711664396	1422953725939128	44465	346.154816	162.796004	5.443515
240	2015-02-03-08-45-10	1422953715368475	1422953727388610	43930	357.805795	164.425357	5.636341
241	2015-02-03-08-45-10	1422953717735761	1422953729243098	47777	368.177391	165.847019	5.921528
242	2015-02-03-08-45-10	1422953719800509	1422953731041003	48425	378.182909	167.641253	6.023076
243	2015-02-03-08-45-10	1422953721755535	1422953732756802	47374	387.888899	169.642780	6.038119
244	2015-02-03-08-45-10	1422953723667981	1422953734374566	47673	397.146525	172.082577	5.935264
245	2015-02-03-08-45-10	1422953725557454	1422953735991141	46689	406.549693	174.923491	5.872503
246	2015-02-03-08-45-10	1422953727428951	1422953737600255	45917	415.903980	178.267228	5.679642
247	2015-02-03-08-45-10	1422953729283414	1422953739550878	42242	426.608866	182.615198	5.622797
248	2015-02-03-08-45-10	1422953731061205	1422953742036278	44851	437.986270	188.003918	5.705182
249	2015-02-03-08-45-10	1422953732777043	1422953746040956	44062	450.018001	195.038634	5.758870
250	2015-02-03-08-45-10	1422953734414982	1422953772044279	43556	460.312530	201.941986	5.856024
251	2015-02-03-08-45-10	1422953736011264	1422953774875456	44265	465.279746	206.181226	6.015403
252	2015-02-03-08-45-10	1422953737620414	1422953778752544	52111	468.637810	212.982272	6.237148
253	2015-02-03-08-45-10	1422953739510796	1422953780820549	45984	470.149784	218.291069	6.344958
254	2015-02-03-08-45-10	1422953741915690	1422953782245472	41118	471.128214	223.470579	6.418578
255	2015-02-03-08-45-10	1422953745700796	1422953783327765	40785	471.532926	229.880120	6.559403
256	2015-02-03-08-45-10	1422953771944017	1422953784088038	41987	470.621402	243.192653	6.922551
257	2015-02-03-08-45-10	1422953774554323	1422953785167886	43715	467.237467	252.031616	6.928492
258	2015-02-03-08-45-10	1422953776720844	1422953786772645	42510	463.253506	261.696550	6.882547
259	2015-02-03-08-45-10	1422953778631866	1422953788339362	42514	459.337747	271.391250	6.915429
260	2015-02-03-08-45-10	1422953780399947	1422953789841230	43969	455.356889	281.113406	7.042327
261	2015-02-03-08-45-10	1422953782024644	1422953791286498	46081	451.442458	290.523694	7.192493
262	2015-02-03-08-45-10	1422953783607953	1422953792674144	47644	447.540569	299.714438	7.370779
263	2015-02-03-08-45-10	1422953785207961	1422953794101264	46622	443.323261	308.974067	7.497572
264	2015-02-03-08-45-10	1422953786812854	1422953795528038	45476	438.954183	318.359301	7.687400
265	2015-02-03-08-45-10	1422953788379518	1422953796915774	44643	434.628836	327.556042	7.826547
266	2015-02-03-08-45-10	1422953789861240	1422953798322683	42393	430.218359	336.444571	7.758172
267	2015-02-03-08-45-10	1422953791326655	1422953799708176	42783	425.685682	345.947287	7.811422
268	2015-02-03-08-45-10	1422953792734497	1422953801113918	44418	421.287475	355.065161	7.839674
269	2015-02-03-08-45-10	1422953794161518	1422953802578229	44421	417.003958	364.295924	7.930472
270	2015-02-03-08-45-10	1422953795568295	1422953804063984	45001	412.516315	373.828293	8.033128
271	2015-02-03-08-45-10	1422953796976038	1422953805586423	45749	408.100889	383.341736	8.134920
272	2015-02-03-08-45-10	1422953798362819	1422953807169095	46649	404.253338	392.316441	8.250214
273	2015-02-03-08-45-10	1422953799748399	1422953808772827	46243	400.105117	401.626269	8.274782
274	2015-02-03-08-45-10	1422953801154047	1422953810412103	46018	396.176493	410.429992	8.285148
275	2015-02-03-08-45-10	1422953802618386	1422953811993079	46372	392.417547	419.393392	8.331569
276	2015-02-03-08-45-10	1422953804124104	1422953814020951	46678	387.992422	429.572337	8.255660
277	2015-02-03-08-45-10	1422953805646481	1422953816572088	50257	383.384877	440.807630	8.259869
278	2015-02-03-08-45-10	1422953807229291	1422953818862590	53717	379.343021	450.276017	8.276267
279	2015-02-03-08-45-10	1422953808832878	1422953820974190	56704	375.751361	458.838847	8.298137
280	2015-02-03-08-45-10	1422953810472187	1422953823163764	61983	372.268717	467.090298	8.356626
281	2015-02-03-08-45-10	1422953812073027	1422953825517100	67984	368.771402	475.264584	8.356119
282	2015-02-03-08-45-10	1422953814121504	1422953827850457	67301	365.115112	483.969089	8.430394
283	2015-02-03-08-45-10	1422953816672648	1422953830064174	61856	360.923451	493.179560	8.360139
284	2015-02-03-08-45-10	1422953818943133	1422953832316245	57912	357.006794	502.718044	8.344858
285	2015-02-03-08-45-10	1422953821054464	1422953834650577	58639	353.176337	512.140756	8.308806
286	2015-02-03-08-45-10	1422953823224156	1422953837118445	57281	349.327052	521.874677	8.293607
287	2015-02-03-08-45-10	1422953825577284	1422953840686510	56163	344.838476	533.231075	8.252381
288	2015-02-03-08-45-10	1422953827910797	1422953851733763	70556	333.543515	546.853103	8.353097
289	2015-02-03-08-45-10	1422953830124596	1422953857049810	68041	325.702189	548.745923	8.371009
290	2015-02-03-08-45-10	1422953832376622	1422953861696893	61142	317.969578	549.154384	8.377071
291	2015-02-03-08-45-10	1422953834710714	1422953865301613	54735	311.386858	548.886389	8.432783
292	2015-02-03-08-45-10	1422953837178606	1422953867062695	51943	306.816083	548.445364	8.452326
293	2015-02-03-08-45-10	1422953840786640	1422953867603096	51520	302.168161	547.340147	8.499398
294	2015-02-03-08-45-10	1422953847301766	1422953870304069	46573	291.322687	542.359092	8.534177
